# Summarize FastOrtho
# PYTHON VERSION: 3.7.12
# Script call:    03_summarize_fastortho.py
# Runtime:        01/05/2023 15:37:58
# ----------------
# Ortholog directory:/n/holylfs05/LABS/informatics/Users/gthomas/spiders/fastortho/16spec/
# Output file:      ../data/16spec/fastortho-summary-16spec.csv
# ----------------
inflation,genes,taxa
2,19,15
2,19,15
2,19,15
2,19,13
2,19,15
2,19,15
2,19,14
2,19,15
2,19,15
2,19,14
2,19,13
2,19,15
2,19,15
2,19,16
2,19,15
2,19,14
2,19,16
2,19,13
2,19,13
2,19,16
2,19,15
2,19,16
2,19,15
2,19,16
2,19,15
2,19,15
2,19,15
2,19,14
2,19,11
2,19,14
2,19,14
2,19,10
2,19,16
2,19,15
2,19,15
2,19,15
2,19,14
2,19,16
2,19,16
2,19,15
2,19,16
2,19,15
2,19,15
2,19,15
2,19,16
2,19,16
2,19,16
2,19,16
2,19,15
2,19,15
2,19,15
2,19,16
2,19,14
2,19,16
2,19,15
2,19,15
2,19,15
2,19,15
2,19,16
2,19,15
2,19,16
2,19,16
2,19,15
2,19,15
2,19,14
2,19,3
2,19,15
2,19,13
2,19,16
2,19,14
2,19,14
2,19,15
2,19,15
2,19,16
2,19,15
2,19,13
2,19,16
2,19,14
2,19,15
2,19,13
2,19,15
2,19,16
2,19,16
2,19,12
2,19,16
2,19,16
2,19,15
2,19,13
2,19,15
2,19,14
2,19,16
2,19,16
2,19,16
2,19,16
2,19,16
2,19,16
2,19,16
2,19,16
2,19,16
2,19,14
2,19,15
2,19,14
2,19,16
2,19,15
2,19,15
2,19,14
2,19,14
2,19,13
2,19,16
2,19,13
2,19,16
2,19,15
2,19,16
2,19,16
2,19,14
2,19,16
2,19,16
2,19,12
2,19,15
2,19,15
2,19,15
2,19,16
2,19,15
2,19,16
2,19,15
2,19,15
2,19,15
2,19,15
2,19,15
2,19,15
2,19,15
2,19,15
2,19,16
2,19,15
2,19,14
2,19,15
2,19,16
2,19,14
2,19,16
2,19,15
2,19,16
2,19,12
2,19,16
2,19,15
2,19,16
2,19,14
2,19,14
2,19,13
2,19,14
2,19,15
2,19,13
2,19,16
2,19,15
2,19,15
2,19,15
2,19,11
2,19,15
2,19,16
2,19,15
2,19,15
2,19,15
2,19,16
2,19,14
2,19,16
2,19,16
2,19,16
2,19,15
2,19,12
2,19,15
2,19,14
2,19,14
2,19,5
2,19,9
2,19,12
2,19,11
2,19,14
2,19,14
2,19,11
2,19,7
2,19,14
2,19,14
2,19,14
2,19,15
2,19,15
2,19,13
2,19,14
2,19,13
2,19,12
2,19,11
2,19,15
2,19,13
2,19,11
2,19,3
2,19,12
2,19,13
2,19,15
2,19,10
2,19,14
2,19,12
2,19,14
2,19,13
2,19,14
2,19,12
2,19,14
2,19,11
2,19,15
2,19,13
2,19,14
2,19,14
2,19,12
2,19,13
2,19,11
2,19,14
2,19,1
2,19,3
2,19,5
2,19,1
2,19,1
2,19,1
2,19,3
2,19,3
2,19,1
2,19,1
2,19,2
2,19,6
2,19,1
2,19,1
2,19,1
2,19,1
2,19,1
2,19,2
2,19,2
2,19,1
2,19,1
2,19,1
2,19,1
2,19,1
2,19,1
2,19,1
2,18,16
2,18,15
2,18,15
2,18,14
2,18,15
2,18,16
2,18,14
2,18,14
2,18,15
2,18,16
2,18,15
2,18,16
2,18,16
2,18,15
2,18,16
2,18,15
2,18,13
2,18,16
2,18,14
2,18,15
2,18,14
2,18,14
2,18,16
2,18,14
2,18,3
2,18,15
2,18,16
2,18,15
2,18,15
2,18,15
2,18,16
2,18,16
2,18,16
2,18,15
2,18,15
2,18,14
2,18,14
2,18,16
2,18,16
2,18,16
2,18,14
2,18,15
2,18,15
2,18,16
2,18,15
2,18,13
2,18,14
2,18,14
2,18,15
2,18,11
2,18,15
2,18,15
2,18,16
2,18,16
2,18,15
2,18,16
2,18,14
2,18,15
2,18,14
2,18,16
2,18,14
2,18,14
2,18,15
2,18,14
2,18,15
2,18,13
2,18,16
2,18,15
2,18,15
2,18,14
2,18,13
2,18,15
2,18,16
2,18,16
2,18,14
2,18,15
2,18,15
2,18,13
2,18,15
2,18,16
2,18,16
2,18,15
2,18,12
2,18,15
2,18,16
2,18,16
2,18,16
2,18,15
2,18,15
2,18,15
2,18,16
2,18,15
2,18,15
2,18,16
2,18,15
